# Mob reference — generated from mob_db.json
# id	sprite_name	name	notes
1371	FAKE_ANGEL	Fake Angel	
1372	GOAT	Goat	
1373	LORD_OF_DEATH	Lord of Death	
1374	INCUBUS	Incubus	
1375	THE_PAPER	The Paper	
1376	HARPY	Harpy	
1377	ELDER	Elder	
1378	DEMON_PUNGUS	Demon Pungus	
1379	NIGHTMARE_TERROR	Nightmare Terror	
1380	DRILLER	Driller	
1381	GRIZZLY	Grizzly	
1382	DIABOLIC	Diabolic	
1383	EXPLOSION	Explosion	
1384	DELETER	Deleter	
1385	DELETER_	Deleter	
1386	SLEEPER	Sleeper	
1387	GIG	Gig	
1388	ARCHANGELING	Archangeling	
1389	DRACULA	Dracula	
1390	VIOLY	Violy	
1391	GALAPAGO	Galapago	
1392	ROTAR_ZAIRO	Rotar Zairo	
1393	G_MUMMY	Mummy	
1394	G_ZOMBIE	Zombie	
1395	CRYSTAL_1	Wind Crystal	
1396	CRYSTAL_2	Earth Crystal	
1397	CRYSTAL_3	Fire Crystal	
1398	CRYSTAL_4	Water Crystal	
1399	EVENT_BAPHO	Baphomet	
1400	KARAKASA	Karakasa	
1401	SHINOBI	Shinobi	
1402	POISON_TOAD	Poison Toad	
1403	ANTIQUE_FIRELOCK	Antique Firelock	
1404	MIYABI_NINGYO	Miyabi Ningyo	
1405	TENGU	Tengu	
1406	KAPHA	Kapha	
1408	BLOOD_BUTTERFLY	Bloody Butterfly	
1409	RICE_CAKE_BOY	Rice Cake Boy	
1410	LIVE_PEACH_TREE	Live Peach Tree	
1412	EVIL_CLOUD_HERMIT	Evil Cloud Hermit	
1413	WILD_GINSENG	Wild Ginseng	
1415	BABY_LEOPARD	Baby Leopard	
1416	WICKED_NYMPH	Wicked Nymph	
1417	ZIPPER_BEAR	Zipper Bear	
1418	DARK_SNAKE_LORD	Evil Snake Lord	
1419	G_FARMILIAR	Familiar	
1420	G_ARCHER_SKELETON	Archer Skeleton	
1421	G_ISIS	Isis	
1422	G_HUNTER_FLY	Hunter Fly	
1423	G_GHOUL	Ghoul	
1424	G_SIDE_WINDER	Side Winder	
1425	G_OBEAUNE	Obeaune	
1426	G_MARC	Marc	
1427	G_NIGHTMARE	Nightmare	
1428	G_POISON_SPORE	Poison Spore	
1429	G_ARGIOPE	Argiope	
1430	G_ARGOS	Argos	
1431	G_BAPHOMET_	Baphomet Jr.	
1432	G_DESERT_WOLF	Desert Wolf	
1433	G_DEVIRUCHI	Deviruchi	
1434	G_DRAINLIAR	Drainliar	
1435	G_EVIL_DRUID	Evil Druid	
1436	G_JAKK	Jakk	
1437	G_JOKER	Joker	
1438	G_KHALITZBURG	Khalitzburg	
1439	G_HIGH_ORC	High Orc	
1440	G_STEM_WORM	Stem Worm	
1441	G_PENOMENA	Penomena	
1442	G_SASQUATCH	Sasquatch	
1443	G_CRUISER	Cruiser	
1444	G_CHEPET	Chepet	
1445	G_RAGGLER	Raggler	
1446	G_INJUSTICE	Injustice	
1447	G_GRYPHON	Gryphon	
1448	G_DARK_FRAME	Dark Frame	
1449	G_MUTANT_DRAGON	Mutant Dragon	
1450	G_WIND_GHOST	Wind Ghost	
1451	G_MERMAN	Merman	
1452	G_ORC_LADY	Orc Lady	
1453	G_RAYDRIC_ARCHER	Raydric Archer	
1454	G_TRI_JOINT	Tri Joint	
1455	G_KOBOLD_ARCHER	Kobold Archer	
1456	G_CHIMERA	Chimera	
1457	G_MANTIS	Mantis	
1458	G_MARDUK	Marduk	
1459	G_MARIONETTE	Marionette	
1460	G_MATYR	Matyr	
1461	G_MINOROUS	Minorous	
1462	G_ORC_SKELETON	Orc Skeleton	
1463	G_ORC_ZOMBIE	Orc Zombie	
1464	G_PASANA	Pasana	
1465	G_PETIT	Petite	
1466	G_PETIT_	Petite	
1467	G_RAYDRIC	Raydric	
1468	G_REQUIEM	Requim	
1469	G_SKEL_WORKER	Skeleton Worker	
1470	G_ZEROM	Zerom	
1471	G_NINE_TAIL	Nine Tail	
1472	G_BON_GUN	Bongun	
1473	G_ORC_ARCHER	Orc Archer	
1474	G_MIMIC	Mimic	
1475	G_WRAITH	Wraith	
1476	G_ALARM	Alarm	
1477	G_ARCLOUSE	Arclouse	
1478	G_RIDEWORD	Rideword	
1479	G_SKEL_PRISONER	Skeleton Prisoner	
1480	G_ZOMBIE_PRISONER	Zombie Prisoner	
1481	G_PUNK	Punk	
1482	G_ZHERLTHSH	Zherlthsh	
1483	G_RYBIO	Rybio	
1484	G_PHENDARK	Phendark	
1485	G_MYSTELTAINN	Mysteltainn	
1486	G_TIRFING	Tirfing	
1487	G_EXECUTIONER	Executioner	
1488	G_ANOLIAN	Anolian	
1489	G_STING	Sting	
1490	G_WANDER_MAN	Wander Man	
1491	G_DOKEBI	Dokebi	
1492	INCANTATION_SAMURAI	Incantation Samurai	
1493	DRYAD	Dryad	
1494	KIND_OF_BEETLE	Beetle King	
1495	STONE_SHOOTER	Stone Shooter	
1497	WOODEN_GOLEM	Wooden Golem	
1498	WOOTAN_SHOOTER	Wootan Shooter	
1499	WOOTAN_FIGHTER	Wootan Fighter	
1500	PARASITE	Parasite	
1502	PORING_V	Pori Pori	
1503	GIBBET	Gibbet	
1504	DULLAHAN	Dullahan	
1505	LOLI_RURI	Loli Ruri	
1506	DISGUISE	Disguise	
1507	BLOODY_MURDERER	Bloody Murderer	
1508	QUVE	Quve	
1509	LUDE	Lude	
1510	HYLOZOIST	Hylozoist	
1511	AMON_RA	Amon Ra	
1512	HYEGUN	Hyegun	
1513	CIVIL_SERVANT	Civil Servant	
1514	DANCING_DRAGON	Dancing Dragon	
1515	GARM_BABY	Garm Baby	
1516	INCREASE_SOIL	Increase Soil	
1517	LI_ME_MANG_RYANG	Li Me Mang Ryang	
1518	BACSOJIN	Bacsojin	
1519	CHUNG_E	Chung E	
1520	BOILED_RICE	Boiled Rice	
1521	G_ALICE	Alice	
1522	G_ANCIENT_MUMMY	Ancient Mummy	
1523	G_ANTIQUE_FIRELOCK	Antique Firelock	
1524	G_BABY_LEOPARD	Baby Leopard	
1525	G_BATHORY	Bathory	
1526	G_BLOOD_BUTTERFLY	Bloody Butterfly	
1527	G_C_TOWER_MANAGER	Clock Tower Manager	
1528	G_CLOCK	Clock	
1529	G_DARK_SNAKE_LORD	Dark Snake Lord	
1530	G_DRACULA	Dracula	
1531	G_EVIL_CLOUD_HERMIT	Evil Cloud Hermit	
1532	G_EXPLOSION	Explosion	
1533	G_FUR_SEAL	Fur Seal	
1534	G_GOBLIN_1	Goblin	
1535	G_GOBLIN_2	Goblin	
1536	G_GOBLIN_3	Goblin	
1537	G_GOBLIN_4	Goblin	
1538	G_GOBLIN_5	Goblin	
1539	G_GOBLIN_LEADER	Goblin Leader	
1540	G_GOLEM	Golem	
1541	G_GREATEST_GENERAL	Greatest General	
1542	G_INCANTATION_SAMURA	Incantation Samurai	
1543	G_KAPHA	Kapha	
1544	G_KARAKASA	Karakasa	
1545	G_KOBOLD_1	Kobold	
1546	G_KOBOLD_2	Kobold	
1547	G_KOBOLD_3	Kobold	
1548	G_KOBOLD_LEADER	Kobold Leader	
1549	G_LAVA_GOLEM	Lava Golem	
1550	G_LIVE_PEACH_TREE	Live Peach Tree	
1551	G_MARSE	Marse	
1552	G_MIYABI_NINGYO	Miyabi Ningyo	
1553	G_MYST	Myst	
1554	G_NIGHTMARE_TERROR	Nightmare Terror	
1555	G_PARASITE	Parasite	
1556	G_POISON_TOAD	Poison Toad	
1557	G_ROTAR_ZAIRO	Rotar Zairo	
1558	G_SAND_MAN	Sandman	
1559	G_SCORPION	Scorpion	
1560	G_SHINOBI	Shinobi	
1561	G_SMOKIE	Smokie	
1562	G_SOLDIER_SKELETON	Soldier Skeleton	
1563	G_TENGU	Tengu	
1564	G_WICKED_NYMPH	Wicked Nymph	
1565	G_WILD_GINSENG	Wild Ginseng	
1566	G_WRAITH_DEAD	Wraith Dead	
1567	G_ANCIENT_WORM	Ancient Worm	
1568	G_ANGELING	Angeling	
1569	G_BLOODY_KNIGHT	Bloody Knight	
1570	G_CRAMP	Cramp	
1571	G_DEVIACE	Deviace	
1572	G_DROPS	Drops	
1573	G_ELDER	Elder	
1574	G_ELDER_WILOW	Elder Willow	
1575	G_FLORA	Flora	
1576	G_GHOSTRING	Ghostring	
1577	G_GOBLIN_ARCHER	Goblin Archer	
1578	G_HORONG	Horong	
1579	G_HYDRA	Hydra	
1580	G_INCUBUS	Incubus	
1581	G_VOCAL	Vocal	
1582	DEVILING	Deviling	
1583	TAO_GUNKA	Tao Gunka	
1584	TAMRUAN	Tamruan	
1585	MIME_MONKEY	Mime Monkey	
1586	LEAF_CAT	Leaf Cat	
1587	KRABEN	Kraben	
1588	ORC_XMAS	Christmas Orc	
1589	G_MANDRAGORA	Mandragora	
1590	G_GEOGRAPHER	Geographer	
1591	A_LUNATIC	Lunatic	
1592	A_MOBSTER	Gangster	
1593	A_ANCIENT_MUMMY	Ancient Mummy	
1594	G_FREEZER	Freezer	
1595	G_MARIN	Marin	
1596	G_TAMRUAN	Tamruan	
1597	G_GARGOYLE	Gargoyle	
1598	G_BLAZZER	Blazzer	
1599	G_WHISPER_BOSS	Giant Whisper	
1600	G_HEATER	Heater	
1601	G_PERMETER	Permeter	
1602	G_SOLIDER	Solider	
1603	G_BIGFOOT	Bigfoot	
1604	G_GIANT_HONET	Giant Hornet	
1605	G_DARK_ILLUSION	Dark Illusion	
1606	G_GARM_BABY	Garm Baby	
1607	G_GOBLINE_XMAS	Christmas Goblin	
1608	G_THIEF_BUG__	Thief Bug Male	
1609	G_DANCING_DRAGON	Dancing Dragon	
1610	A_MUNAK	Munak	
1611	A_BON_GUN	Bongun	
1612	A_HYEGUN	Hyegun	
1613	METALING	Metaling	
1614	MINERAL	Mineral	
1615	OBSIDIAN	Obsidian	
1616	PITMAN	Pitman	
1617	WASTE_STOVE	Waste Stove	
1618	UNGOLIANT	Ungoliant	
1619	PORCELLIO	Porcellio	
1620	NOXIOUS	Noxious	
1621	VENOMOUS	Venomous	
1622	TEDDY_BEAR	Teddy Bear	
1623	RSX_0806	RSX 0806	
1624	G_WASTE_STOVE	Waste Stove	
1625	G_PORCELLIO	Porcellio	
1626	G_DARK_PRIEST	Hellion Revenant	
1627	ANOPHELES	Anopheles	
1628	MOLE	Mole	
1629	HILL_WIND	Hill Wind	
1630	BACSOJIN_	Bacsojin	
1631	CHUNG_E_	Chung E	
1632	GREMLIN	Gremlin	
1633	BEHOLDER	Beholder	
1634	SEYREN	Seyren	
1635	EREMES	Eremes	
1636	HARWORD	Harword	
1637	MAGALETA	Magaleta	
1638	SHECIL	Shecil	
1639	KATRINN	Katrinn	
1640	G_SEYREN	Lord Knight Seyren	
1641	G_EREMES	Assassin Cross Eremes	
1642	G_HARWORD	Whitesmith Harword	
1643	G_MAGALETA	High Priest Magaleta	
1644	G_SHECIL	Sniper Shecil	
1645	G_KATRINN	High Wizard Katrinn	
1646	B_SEYREN	Lord Knight Seyren	
1647	B_EREMES	Assassin Cross Eremes	
1648	B_HARWORD	Whitesmith Harword	
1649	B_MAGALETA	High Priest Magaleta	
1650	B_SHECIL	Sniper Shecil	
1651	B_KATRINN	High Wizard Katrinn	
1652	YGNIZEM	Ygnizem	
1653	WHIKEBAIN	Whikebain	
1654	ARMAIA	Armaia	
1655	EREND	Erend	
1656	KAVAC	Kavac	
1657	RAWREL	Rawrel	
1658	B_YGNIZEM	Ygnizem	
1659	G_WHIKEBAIN	Whikebain	
1660	G_ARMAIA	Armaia	
1661	G_EREND	Erend	
1662	G_KAVAC	Kavac	
1663	G_RAWREL	Rawrel	
1664	POTON_CANON	Photon Cannon	
1665	POTON_CANON_1	Photon Cannon	
1666	POTON_CANON_2	Photon Cannon	
1667	POTON_CANON_3	Photon Cannon	
1668	ARCHDAM	Archdam	
1669	DIMIK	Dimik	
1670	DIMIK_1	Dimik	
1671	DIMIK_2	Dimik	
1672	DIMIK_3	Dimik	
1673	DIMIK_4	Dimik	
1674	MONEMUS	Monemus	
1675	VENATU	Venatu	
1676	VENATU_1	Venatu	
1677	VENATU_2	Venatu	
1678	VENATU_3	Venatu	
1679	VENATU_4	Venatu	
1680	HILL_WIND_1	Hill Wind	
1681	GEMINI	Gemini-S58	
1682	REMOVAL	Removal	
1683	G_POTON_CANON	Photon Cannon	
1684	G_ARCHDAM	Archdam	
1685	APOCALIPS_H	Vesper	
1686	ORC_BABY	Orc Baby	
1687	GREEN_IGUANA	Green Iguana	
1688	LADY_TANEE	Lady Tanee	
1689	G_BACSOJIN	Bacsojin	
1690	G_SPRING_RABBIT	Spring Rabbit	
1691	G_KRABEN	Kraben	
1692	BREEZE	Breeze	
1693	PLASMA_Y	Plasma	
1694	PLASMA_R	Plasma	
1695	PLASMA_G	Plasma	
1696	PLASMA_P	Plasma	
1697	PLASMA_B	Plasma	
1698	DEATHWORD	Deathword	
1699	ANCIENT_MIMIC	Ancient Mimic	
1700	OBSERVATION	Observation	
1701	SHELTER	Shelter	
1702	RETRIBUTION	Retribution	
1703	SOLACE	Solace	
1704	THA_ODIUM	Thanatos Odium	
1705	THA_DESPERO	Thanatos Despero	
1706	THA_MAERO	Thanatos Maero	
1707	THA_DOLOR	Thanatos Dolor	
1708	THANATOS	Thanatos	
1709	G_THA_ODIUM	Thanatos Odium	
1710	G_THA_DESPERO	Thanatos Despero	
1711	G_THA_MAERO	Thanatos Maero	
1712	G_THA_DOLOR	Thanatos Dolor	
1713	ACIDUS	Acidus	
1714	FERUS	Ferus	
1715	NOVUS	Novus	
1716	ACIDUS_	Acidus	
1717	FERUS_	Ferus	
1718	NOVUS_	Novus	
1719	DETALE	Detale	
1720	HYDRO	Hydro	
1721	DRAGON_EGG	Dragon Egg	
1722	EVENT_JAKK	Jakk	
1723	A_SHECIL	Shecil Damon	
1724	A_POTON_CANON	Photon Cannon	
1725	R_PORING	Poring	
1726	R_LUNATIC	Lunatic	
1727	R_SAVAGE_BABE	Savage Babe	
1728	R_DESERT_WOLF_B	Desert Wolf Baby	
1729	R_BAPHOMET_	Baphomet Jr.	
1730	R_DEVIRUCHI	Deviruchi	
1731	G_DOPPELGANGER	Doppelganger	
1732	G_TREASURE_BOX	Treasure Chest	
1733	KIEL	Kiel	
1734	KIEL_	Kiel D-01	
1735	ALICEL	Alicel	
1736	ALIOT	Aliot	
1737	ALIZA	Aliza	
1738	CONSTANT	Constant	
1739	G_ALICEL	Alicel	
1740	G_ALIOT	Aliot	
1741	G_COOKIE_XMAS	Christmas Cookie	
1742	G_CARAT	Carat	
1743	G_MYSTCASE	Myst Case	
1744	G_WILD_ROSE	Wild Rose	
1745	G_CONSTANT	Constant	
1746	G_ALIZA	Aliza	
1747	G_SNAKE	Snake	
1748	G_ANACONDAQ	Anacondaq	
1749	G_MEDUSA	Medusa	
1750	G_RED_PLANT	Red Plant	
1751	RANDGRIS	Valkyrie Randgris	
1752	SKOGUL	Skogul	
