# Skill reference — generated from skills.json + skills_by_job.md
# id	constant	description	category	notes
53	TF_DETOXIFY	Detoxify	X	Removes poison status
54	ALL_RESURRECTION	Resurrection	O, H	Offensive vs Undead (instant kill mechanic)
55	KN_SPEARMASTERY	Spear Mastery	P	
56	KN_PIERCE	Pierce	O	Hit count depends on target size
57	KN_BRANDISHSPEAR	Brandish Spear	O	Bugged in vanilla; Payon Stories double-damage vs terrain
58	KN_SPEARSTAB	Spear Stab	O	
59	KN_SPEARBOOMERANG	Spear Boomerang	O	
60	KN_TWOHANDQUICKEN	Twohand Quicken	B	
61	KN_AUTOCOUNTER	Counter Attack	O	Check implementation; advanced combat modelling
62	KN_BOWLINGBASH	Bowling Bash	O	
63	KN_RIDING	Peco Peco Riding	P	Toggle Peco Peco mount
64	KN_CAVALIERMASTERY	Cavalier Mastery	P	
65	PR_MACEMASTERY	Mace Mastery	P	
66	PR_IMPOSITIO	Impositio Manus	B	
67	PR_SUFFRAGIUM	Suffragium	B	
68	PR_ASPERSIO	Aspersio	B	Weapon endow → Holy; model via element override
69	PR_BENEDICTIO	B.S. Sacramenti	B	Changes armor attribute; model via armor element override
70	PR_SANCTUARY	Sanctuary	H, O	Healing ground; offensive vs Undead
71	PR_SLOWPOISON	Slow Poison	X	Not directly relevant
72	PR_STRECOVERY	Status Recovery	S, X	Removes some statuses; listed in status_skills (Undead attribute only)
73	PR_KYRIE	Kyrie Eleison	X	Prevents hit count; advanced combat modelling
74	PR_MAGNIFICAT	Magnificat	B	
75	PR_GLORIA	Gloria	B, S	
76	PR_LEXDIVINA	Lex Divina	S	
77	PR_TURNUNDEAD	Turn Undead	O	
78	PR_LEXAETERNA	Lex Aeterna	D	
79	PR_MAGNUS	Magnus Exorcismus	O	
80	WZ_FIREPILLAR	Fire Pillar	O	Requires special handling; Payon Stories push vs terrain
81	WZ_SIGHTRASHER	Sightrasher	O	Requires MG_SIGHT (10) active
83	WZ_METEOR	Meteor Storm	O	
84	WZ_JUPITEL	Jupitel Thunder	O	
85	WZ_VERMILION	Lord of Vermilion	O	
86	WZ_WATERBALL	Water Ball	O	Allow manual setting of active water cells
87	WZ_ICEWALL	Ice Wall	X	Relevant for ice wall prison advanced modelling
88	WZ_FROSTNOVA	Frost Nova	O, S	
89	WZ_STORMGUST	Storm Gust	O, S	
90	WZ_EARTHSPIKE	Earth Spike	O	
91	WZ_HEAVENDRIVE	Heaven's Drive	O	
92	WZ_QUAGMIRE	Quagmire	D, O	Ground-based; modifier for incoming
93	WZ_ESTIMATION	Sense	X	Not relevant
94	BS_IRON	Iron Tempering		
95	BS_STEEL	Steel Tempering		
96	BS_ENCHANTEDSTONE	Enchanted Stone Craft		
97	BS_ORIDEOCON	Oridecon Research		
98	BS_DAGGER	Smith Dagger		
99	BS_SWORD	Smith Sword		
100	BS_TWOHANDSWORD	Smith Two-handed Sword		
101	BS_AXE	Smith Axe		
102	BS_MACE	Smith Mace		
103	BS_KNUCKLE	Smith Knucklebrace		
104	BS_SPEAR	Smith Spear		
105	BS_HILTBINDING	Hilt Binding	P	
106	BS_FINDINGORE	Ore Discovery	X	Not relevant
107	BS_WEAPONRESEARCH	Weaponry Research	P	
108	BS_REPAIRWEAPON	Weapon Repair	X	Not relevant
109	BS_SKINTEMPER	Skin Tempering	P	
110	BS_HAMMERFALL	Hammer Fall	S	
111	BS_ADRENALINE	Adrenaline Rush	B	
112	BS_WEAPONPERFECT	Weapon Perfection	B	
113	BS_OVERTHRUST	Power-Thrust	B	
114	BS_MAXIMIZE	Maximize Power	B	
115	HT_SKIDTRAP	Skid Trap	X	Trap; not relevant
116	HT_LANDMINE	Land Mine	O	Trap
117	HT_ANKLESNARE	Ankle Snare	X	Trap; maybe show duration on target
118	HT_SHOCKWAVE	Shockwave Trap	X	Trap; not relevant
119	HT_SANDMAN	Sandman	S	Trap
120	HT_FLASHER	Flasher	S	Trap
121	HT_FREEZINGTRAP	Freezing Trap	O, S	Trap
122	HT_BLASTMINE	Blast Mine	O	Trap
123	HT_CLAYMORETRAP	Claymore Trap	O	Trap
124	HT_REMOVETRAP	Remove Trap	X	Not relevant
125	HT_TALKIEBOX	Talkie Box	X	Not relevant
126	HT_BEASTBANE	Beast Bane	P	
127	HT_FALCON	Falconry Mastery	P	Toggle Falcon
128	HT_STEELCROW	Steel Crow	P	
129	HT_BLITZBEAT	Blitz Beat	P	Auto-proc; requires auto spell system to model
130	HT_DETECTING	Detect	X	Not relevant
131	HT_SPRINGTRAP	Spring Trap	X	Not relevant
132	AS_RIGHT	Righthand Mastery	P	
133	AS_LEFT	Lefthand Mastery	P	
134	AS_KATAR	Katar Mastery	P	
135	AS_CLOAKING	Cloaking	B	Mostly relevant for advanced combat modelling
136	AS_SONICBLOW	Sonic Blow	O, S	
137	AS_GRIMTOOTH	Grimtooth	O	
138	AS_ENCHANTPOISON	Enchant Poison	B	Weapon endow → Poison; model via element override; also poison %
139	AS_POISONREACT	Poison React	B	Mostly relevant for advanced combat modelling
140	AS_VENOMDUST	Venom Dust	S	Ground effect causing Poison status
141	AS_SPLASHER	Venom Splasher	O	
142	NV_FIRSTAID	First Aid		
143	NV_TRICKDEAD	Play Dead		
144	SM_MOVINGRECOVERY	Moving HP-Recovery	M	HP regen while walking; unaffected by SM_RECOVERY (4)
145	SM_FATALBLOW	Fatal Blow	M	Adds stun to Bash lv 6+; base 5%*(lv-5), modified by BaseLV
146	SM_AUTOBERSERK	Auto Berserk	B	Applies Provoke (6) to user when HP < 25%; model as toggle
147	AC_MAKINGARROW	Arrow Crafting	X	Creates items; maybe list arrow crafting recipes
148	AC_CHARGEARROW	Arrow Repel	O	
149	TF_SPRINKLESAND	Sand Attack	O, S	
150	TF_BACKSLIDING	Back Slide	X	Not relevant
151	TF_PICKSTONE	Find Stone	X	Creates item
152	TF_THROWSTONE	Stone Fling	O	
153	MC_CARTREVOLUTION	Cart Revolution	O	Damage depends on cart weight; allow manual weight input
154	MC_CHANGECART	Change Cart	X	Not relevant
155	MC_LOUD	Crazy Uproar	B	
156	AL_HOLYLIGHT	Holy Light	O	
157	MG_ENERGYCOAT	Energy Coat	B	
158	NPC_PIERCINGATT	Piercing Attack		
159	NPC_MENTALBREAKER	Spirit Destruction		
160	NPC_RANGEATTACK	Stand off attack		
161	NPC_ATTRICHANGE	Attribute Change		
162	NPC_CHANGEWATER	Water Attribute Change		
163	NPC_CHANGEGROUND	Earth Attribute Change		
164	NPC_CHANGEFIRE	Fire Attribute Change		
165	NPC_CHANGEWIND	Wind Attribute Change		
166	NPC_CHANGEPOISON	Poison Attribute Change		
167	NPC_CHANGEHOLY	Holy Attribute Change		
168	NPC_CHANGEDARKNESS	Shadow Attribute Change		
169	NPC_CHANGETELEKINESIS	Ghost Attribute Change		
170	NPC_CRITICALSLASH	Defense disregard attack		
171	NPC_COMBOATTACK	Multi-stage Attack		
172	NPC_GUIDEDATTACK	Guided Attack		
173	NPC_SELFDESTRUCTION	Suicide bombing		
174	NPC_SPLASHATTACK	Splash attack		
175	NPC_SUICIDE	Suicide		
176	NPC_POISON	Poison Attack		
177	NPC_BLINDATTACK	Blind Attack		
178	NPC_SILENCEATTACK	Silence Attack		
179	NPC_STUNATTACK	Stun Attack		
180	NPC_PETRIFYATTACK	Petrify Attack		
181	NPC_CURSEATTACK	Curse Attack		
182	NPC_SLEEPATTACK	Sleep attack		
183	NPC_RANDOMATTACK	Random Attack		
184	NPC_WATERATTACK	Water Attribute Attack		
185	NPC_GROUNDATTACK	Earth Attribute Attack		
186	NPC_FIREATTACK	Fire Attribute Attack		
187	NPC_WINDATTACK	Wind Attribute Attack		
188	NPC_POISONATTACK	Poison Attribute Attack		
189	NPC_HOLYATTACK	Holy Attribute Attack		
190	NPC_DARKNESSATTACK	Shadow Attribute Attack		
191	NPC_TELEKINESISATTACK	Ghost Attribute Attack		
192	NPC_MAGICALATTACK	Demon Shock Attack		
193	NPC_METAMORPHOSIS	Metamorphosis		
194	NPC_PROVOCATION	Provocation		
195	NPC_SMOKING	Smoking		
196	NPC_SUMMONSLAVE	Follower Summons		
197	NPC_EMOTION	Emotion		
198	NPC_TRANSFORMATION	Transformation		
199	NPC_BLOODDRAIN	Sucking Blood		
200	NPC_ENERGYDRAIN	Energy Drain		
201	NPC_KEEPING	Keeping		
202	NPC_DARKBREATH	Dark Breath		
203	NPC_DARKBLESSING	Dark Blessing		
204	NPC_BARRIER	Barrier		
205	NPC_DEFENDER	Defender		
206	NPC_LICK	Lick		
207	NPC_HALLUCINATION	Hallucination		
208	NPC_REBIRTH	Rebirth		
209	NPC_SUMMONMONSTER	Monster Summons		
210	RG_SNATCHER	Gank	P	
211	RG_STEALCOIN	Mug	X	Not relevant
212	RG_BACKSTAP	Back Stab	O	
213	RG_TUNNELDRIVE	Stalk	X	Not relevant
214	RG_RAID	Sightless Mind	O, S	Requires hiding status
215	RG_STRIPWEAPON	Divest Weapon	D	
216	RG_STRIPSHIELD	Divest Shield	D	
217	RG_STRIPARMOR	Divest Armor	D	
218	RG_STRIPHELM	Divest Helm	D	
219	RG_INTIMIDATE	Snatch	O	
220	RG_GRAFFITI	Scribble		
221	RG_FLAGGRAFFITI	Piece		
222	RG_CLEANER	Remover		
223	RG_GANGSTER	Slyness		
224	RG_COMPULSION	Haggle		
225	RG_PLAGIARISM	Intimidate	M	Allows use of any skill with relevant flag
226	AM_AXEMASTERY	Axe Mastery	P	
227	AM_LEARNINGPOTION	Potion Research	P	
228	AM_PHARMACY	Prepare Potion	X	Creates item
229	AM_DEMONSTRATION	Bomb	O	
230	AM_ACIDTERROR	Acid Terror	O, S	
231	AM_POTIONPITCHER	Aid Potion	H	
232	AM_CANNIBALIZE	Summon Flora	X	Summons mobs; maybe model Geographer heal
233	AM_SPHEREMINE	Summon Marine Sphere	X	Summons self-destruct mob; model summon HP and damage
234	AM_CP_WEAPON	Alchemical Weapon		
235	AM_CP_SHIELD	Synthesized Shield		
236	AM_CP_ARMOR	Synthetic Armor		
237	AM_CP_HELM	Biochemical Helm		
238	AM_BIOETHICS	Bioethics		
243	AM_CALLHOMUN	Call Homunculus		
244	AM_REST	Vaporize		
247	AM_RESURRECTHOMUN	Homunculus Resurrection	X	Not relevant
248	CR_TRUST	Faith	P	
249	CR_AUTOGUARD	Guard	B	Relevant for incoming damage modelling; advanced multi-hit
250	CR_SHIELDCHARGE	Smite	O, S	
251	CR_SHIELDBOOMERANG	Shield Boomerang	O	
252	CR_REFLECTSHIELD	Shield Reflect	B	Reflect damage; advanced combat modelling
253	CR_HOLYCROSS	Holy Cross	O, S	
254	CR_GRANDCROSS	Grand Cross	O	Exceedingly complicated; likely requires entire session
255	CR_DEVOTION	Sacrifice	X	Allows transfer of some Crusader buffs; separate section if implemented
256	CR_PROVIDENCE	Resistant Souls	B	
257	CR_DEFENDER	Defending Aura	B	Has debuff side-effect (slows movement/ranged)
258	CR_SPEARQUICKEN	Spear Quicken	B	
259	MO_IRONHAND	Iron Fists	P	
260	MO_SPIRITSRECOVERY	Spiritual Cadence	P	Primarily useful for sitting SP Regen
261	MO_CALLSPIRITS	Summon Spirit Sphere	B	With 1015 allows any build to obtain spirit sphere buff
262	MO_ABSORBSPIRITS	Absorb Spirit Sphere	X	Not relevant
263	MO_TRIPLEATTACK	Raging Trifecta Blow	P, C	Passive; causes distinct attack delay depending on MO_CHAINCOMBO (272)
264	MO_BODYRELOCATION	Snap	X	Not relevant
265	MO_DODGE	Dodge	P	
266	MO_INVESTIGATE	Occult Impaction	O	
267	MO_FINGEROFFENSIVE	Throw Spirit Sphere	O	
268	MO_STEELBODY	Mental Strength	B	
269	MO_BLADESTOP	Root	C	Technically a status; effectively for combos
270	MO_EXPLOSIONSPIRITS	Fury	B	
271	MO_EXTREMITYFIST	Asura Strike	O, C	Allowed after 269 or 273, or standalone via 1015
272	MO_CHAINCOMBO	Raging Quadruple Blow	O, C	Requires 263 or 269; leads into 273
273	MO_COMBOFINISH	Raging Thrust	O, C	Requires 272; leads into 271
274	SA_ADVANCEDBOOK	Study	P	
275	SA_CASTCANCEL	Cast Cancel	X	Not relevant
276	SA_MAGICROD	Magic Rod	X	Not relevant for basic calc
277	SA_SPELLBREAKER	Spell Breaker	O	Mostly relevant for advanced combat modelling
278	SA_FREECAST	Free Cast	P	
279	SA_AUTOSPELL	Hindsight	P, M	Requires auto spell system to model
280	SA_FLAMELAUNCHER	Endow Blaze	B	Weapon endow → Fire; model via element override
281	SA_FROSTWEAPON	Endow Tsunami	B	Weapon endow → Water; model via element override
282	SA_LIGHTNINGLOADER	Endow Tornado	B	Weapon endow → Wind; model via element override
283	SA_SEISMICWEAPON	Endow Quake	B	Weapon endow → Earth; model via element override
284	SA_DRAGONOLOGY	Dragonology	P	
285	SA_VOLCANO	Volcano	B	Ground effect (AttrFix-adjacent)
286	SA_DELUGE	Deluge	B	Ground effect
287	SA_VIOLENTGALE	Whirlwind	B	Ground effect
288	SA_LANDPROTECTOR	Magnetic Earth	X	Not relevant
289	SA_DISPELL	Dispell	X	Removes most buffs and debuffs
290	SA_ABRACADABRA	Hocus-pocus	X	Not relevant
291	SA_MONOCELL	Monocell		
292	SA_CLASSCHANGE	Class Change		
293	SA_SUMMONMONSTER	Monster Chant		
294	SA_REVERSEORCISH	Grampus Morph		
295	SA_DEATH	Grim Reaper		
296	SA_FORTUNE	Gold Digger		
297	SA_TAMINGMONSTER	Beastly Hypnosis		
298	SA_QUESTION	Questioning		
299	SA_GRAVITY	Gravity		
300	SA_LEVELUP	Leveling		
301	SA_INSTANTDEATH	Suicide		
302	SA_FULLRECOVERY	Rejuvenation		
303	SA_COMA	Coma		
304	BD_ADAPTATION	Amp	X	Only useful for modelling SP usage
305	BD_ENCORE	Encore	X	SP usage
306	BD_LULLABY	Lullaby	S	Duet (Bard + Dancer)
307	BD_RICHMANKIM	Mental Sensing	X	Not relevant for damage
308	BD_ETERNALCHAOS	Down Tempo	D	Duet
309	BD_DRUMBATTLEFIELD	Battle Theme	B	Duet
310	BD_RINGNIBELUNGEN	Harmonic Lick	B	Duet
311	BD_ROKISWEIL	Classical Pluck	X	Not relevant
312	BD_INTOABYSS	Power Chord	X	Not relevant
313	BD_SIEGFRIED	Acoustic Rhythm	B	Duet
315	BA_MUSICALLESSON	Music Lessons	P	
316	BA_MUSICALSTRIKE	Melody Strike	O	
317	BA_DISSONANCE	Unchained Serenade	S, O	
318	BA_FROSTJOKE	Unbarring Octave	S	
319	BA_WHISTLE	Perfect Tablature	B	
320	BA_ASSASSINCROSS	Impressive Riff	B	SC_ASSNCROS
321	BA_POEMBRAGI	Magic Strings	B	SC_POEMBRAGI; cast time + after-cast delay
322	BA_APPLEIDUN	Song of Lutie	B	SC_APPLEIDUN; MaxHP%
323	DC_DANCINGLESSON	Dance Lessons	P	
324	DC_THROWARROW	Slinging Arrow	O	
325	DC_UGLYDANCE	Hip Shaker	D	SP drain debuff
326	DC_SCREAM	Dazzler	S	
327	DC_HUMMING	Focus Ballet	B	
328	DC_DONTFORGETME	Slow Grace	D	Slows movement and attack speed
329	DC_FORTUNEKISS	Lady Luck	B	
330	DC_SERVICEFORYOU	Gypsy's Kiss	B	MaxSP% + SP cost reduction
331	NPC_RANDOMMOVE	Random Move		
332	NPC_SPEEDUP	Speed UP		
333	NPC_REVENGE	Revenge		
334	WE_MALE	I Will Protect You		
335	WE_FEMALE	I Look up to You		
336	WE_CALLPARTNER	I miss You		
337	ITM_TOMAHAWK	Throw Tomahawk		
338	NPC_DARKCROSS	Cross of Darkness		
339	NPC_GRANDDARKNESS	Grand cross of Darkness		
340	NPC_DARKSTRIKE	Soul Strike of Darkness		
341	NPC_DARKTHUNDER	Darkness Jupitel		
342	NPC_STOP	Stop		
343	NPC_WEAPONBRAKER	Break weapon		
344	NPC_ARMORBRAKE	Break armor		
345	NPC_HELMBRAKE	Break helm		
346	NPC_SHIELDBRAKE	Break shield		
347	NPC_UNDEADATTACK	Undead Element Attack		
348	NPC_CHANGEUNDEAD	Undead Attribute Change		
349	NPC_POWERUP	Power Up		
350	NPC_AGIUP	Agility UP		
351	NPC_SIEGEMODE	Siege Mode		
352	NPC_CALLSLAVE	Recall Slaves		
353	NPC_INVISIBLE	Invisible		
354	NPC_RUN	Run		
355	LK_AURABLADE	Aura Blade		
356	LK_PARRYING	Parrying		
357	LK_CONCENTRATION	Concentration		
358	LK_TENSIONRELAX	Relax		
359	LK_BERSERK	Frenzy		
361	HP_ASSUMPTIO	Assumptio		
362	HP_BASILICA	Basilica		
363	HP_MEDITATIO	Meditatio		
364	HW_SOULDRAIN	Soul Drain		
365	HW_MAGICCRASHER	Stave Crasher		
366	HW_MAGICPOWER	Mystical Amplification		
367	PA_PRESSURE	Gloria Domini		
368	PA_SACRIFICE	Martyr's Reckoning		
369	PA_GOSPEL	Battle Chant		
370	CH_PALMSTRIKE	Raging Palm Strike		
371	CH_TIGERFIST	Glacier Fist		
372	CH_CHAINCRUSH	Chain Crush Combo		
373	PF_HPCONVERSION	Indulge		
374	PF_SOULCHANGE	Soul Exhale		
375	PF_SOULBURN	Soul Siphon		
376	ASC_KATAR	Advanced Katar Mastery		
378	ASC_EDP	Enchant Deadly Poison		
379	ASC_BREAKER	Soul Destroyer		
380	SN_SIGHT	Falcon Eyes		
381	SN_FALCONASSAULT	Falcon Assault		
382	SN_SHARPSHOOTING	Focused Arrow Strike		
383	SN_WINDWALK	Wind Walker		
384	WS_MELTDOWN	Shattering Strike		
387	WS_CARTBOOST	Cart Boost		
389	ST_CHASEWALK	Stealth		
390	ST_REJECTSWORD	Counter Instinct		
392	CR_ALCHEMY	Alchemy		
393	CR_SYNTHESISPOTION	Potion Synthesis		
394	CG_ARROWVULCAN	Vulcan Arrow		
395	CG_MOONLIT	Sheltering Bliss		
396	CG_MARIONETTE	Marionette Control		
397	LK_SPIRALPIERCE	Spiral Pierce		
398	LK_HEADCRUSH	Traumatic Blow		
399	LK_JOINTBEAT	Vital Strike		
400	HW_NAPALMVULCAN	Napalm Vulcan		
401	CH_SOULCOLLECT	Zen		
402	PF_MINDBREAKER	Mind Breaker		
403	PF_MEMORIZE	Foresight		
404	PF_FOGWALL	Blinding Mist		
405	PF_SPIDERWEB	Fiber Lock		
406	ASC_METEORASSAULT	Meteor Assault		
407	ASC_CDP	Create Deadly Poison		
408	WE_BABY	Baby		
409	WE_CALLPARENT	Call Parent		
410	WE_CALLBABY	Call Baby		
411	TK_RUN	Running	B	
412	TK_READYSTORM	Tornado Stance	C	Tornado Stance
413	TK_STORMKICK	Tornado Kick	O, C	
414	TK_READYDOWN	Heel Drop Stance	C	Heel Drop Stance
415	TK_DOWNKICK	Heel Drop	O, C, S	
416	TK_READYTURN	Roundhouse Stance	C	Roundhouse Stance
417	TK_TURNKICK	Roundhouse Kick	O, C, S	
418	TK_READYCOUNTER	Counter Kick Stance	C	Counter Kick Stance
419	TK_COUNTER	Counter Kick	O, C	
420	TK_DODGE	Tumbling	P	
421	TK_JUMPKICK	Flying Kick	O	Exceedingly complicated; model with current SP
422	TK_HPTIME	Peaceful Break	P	Sitting HP regen modelling
423	TK_SPTIME	Happy Break	P	Sitting SP regen; maybe add tooltip for happy status
424	TK_POWER	Kihop	P	Allow manual setting of party member count
425	TK_SEVENWIND	Mild Wind	B	Weapon endow → element (7 choices); model via element override
426	TK_HIGHJUMP	Taekwon Jump	X	Not relevant
427	SG_FEEL	Feeling the Sun Moon and Stars		
428	SG_SUN_WARM	Warmth of the Sun		
429	SG_MOON_WARM	Warmth of the Moon		
430	SG_STAR_WARM	Warmth of the Stars		
431	SG_SUN_COMFORT	Comfort of the Sun		
432	SG_MOON_COMFORT	Comfort of the Moon		
433	SG_STAR_COMFORT	Comfort of the Stars		
434	SG_HATE	Hatred of the Sun Moon and Stars		
435	SG_SUN_ANGER	Anger of the Sun		
436	SG_MOON_ANGER	Anger of the Moon		
437	SG_STAR_ANGER	Anger of the Stars		
438	SG_SUN_BLESS	Blessing of the Sun		
439	SG_MOON_BLESS	Blessing of the Moon		
440	SG_STAR_BLESS	Blessing of the Stars		
441	SG_DEVIL	Demon of the Sun Moon and Stars		
442	SG_FRIEND	Friend of the Sun Moon and Stars		
443	SG_KNOWLEDGE	Knowledge of the Sun Moon and Stars		
444	SG_FUSION	Union of the Sun Moon and Stars		
445	SL_ALCHEMIST	Spirit of the Alchemist		
446	AM_BERSERKPITCHER	Aid Berserk Potion	B	Soul Link required for non-Alchemist use
447	SL_MONK	Spirit of the Monk		
448	SL_STAR	Spirit of the Star Gladiator		
449	SL_SAGE	Spirit of the Sage		
450	SL_CRUSADER	Spirit of the Crusader		
451	SL_SUPERNOVICE	Spirit of the Supernovice		
452	SL_KNIGHT	Spirit of the Knight		
453	SL_WIZARD	Spirit of the Wizard		
454	SL_PRIEST	Spirit of the Priest		
455	SL_BARDDANCER	Spirit of the Artist		
456	SL_ROGUE	Spirit of the Rogue		
457	SL_ASSASIN	Spirit of the Assasin		
458	SL_BLACKSMITH	Spirit of the Blacksmith		
459	BS_ADRENALINE2	Advanced Adrenaline Rush	B	Soul Link required for non-Blacksmith use
460	SL_HUNTER	Spirit of the Hunter		
461	SL_SOULLINKER	Spirit of the Soul Linker		
462	SL_KAIZEL	Kaizel		
463	SL_KAAHI	Kaahi		
464	SL_KAUPE	Kaupe		
465	SL_KAITE	Kaite		
466	SL_KAINA	Kaina		
467	SL_STIN	Estin		
468	SL_STUN	Estun		
469	SL_SMA	Esma		
470	SL_SWOO	Eswoo		
471	SL_SKE	Eske		
472	SL_SKA	Eska		
473	SM_SELFPROVOKE	Provoke Self		
474	NPC_EMOTION_ON	Emotion ON		
475	ST_PRESERVE	Preserve		
476	ST_FULLSTRIP	Divest All		
477	WS_WEAPONREFINE	Upgrade Weapon		
478	CR_SLIMPITCHER	Aid Condensed Potion		
479	CR_FULLPROTECTION	Full Protection		
480	PA_SHIELDCHAIN	Shield Chain		
481	HP_MANARECHARGE	Mana Recharge		
482	PF_DOUBLECASTING	Double Casting		
483	HW_GANBANTEIN	Ganbantein		
484	HW_GRAVITATION	Gravitation Field		
485	WS_CARTTERMINATION	Cart Termination		
486	WS_OVERTHRUSTMAX	Maximum Power Thrust		
487	CG_LONGINGFREEDOM	Longing for Freedom		
488	CG_HERMODE	Wand of Hermode		
489	CG_TAROTCARD	Tarot Card of Fate		
490	CR_ACIDDEMONSTRATION	Acid Demonstration		
491	CR_CULTIVATION	Plant Cultivation		
492	ITEM_ENCHANTARMS	Weapon Enchantment		
493	TK_MISSION	Taekwon Mission	X	Ranker status; not relevant for basic; advanced only
494	SL_HIGH	Spirit of Rebirth		
495	KN_ONEHAND	Onehand Quicken	B	Soul Link required for non-Knight builds
496	AM_TWILIGHT1	Twilight Alchemy 1		
497	AM_TWILIGHT2	Twilight Alchemy 2		
498	AM_TWILIGHT3	Twilight Alchemy 3		
499	HT_POWER	Beast Strafing		
500	GS_GLITTERING	Flip the Coin	B	
501	GS_FLING	Fling	O, D	
502	GS_TRIPLEACTION	Triple Action	O	
503	GS_BULLSEYE	Bulls Eye	O, S	Coma status irrelevant; other statuses apply
504	GS_MADNESSCANCEL	Madness Canceller	B	
505	GS_ADJUSTMENT	AdJustment	B	
506	GS_INCREASING	Increasing Accuracy	B	
507	GS_MAGICALBULLET	Magical Bullet	O	
508	GS_CRACKER	Cracker	S	
509	GS_SINGLEACTION	Single Action	P	
510	GS_SNAKEEYE	Snake Eye	P	
511	GS_CHAINACTION	Chain Action	P	
512	GS_TRACKING	Tracking	O	
513	GS_DISARM	Disarm	D	
514	GS_PIERCINGSHOT	Piercing Shot	O, S	
515	GS_RAPIDSHOWER	Rapid Shower	O	
516	GS_DESPERADO	Desperado	O	
517	GS_GATLINGFEVER	Gatling Fever	B	
518	GS_DUST	Dust	O	
519	GS_FULLBUSTER	Full Buster	O, S	
520	GS_SPREADATTACK	Spread Attack	O	
521	GS_GROUNDDRIFT	Ground Drift	O	Trap-like; special handling for advanced modelling
522	NJ_TOBIDOUGU	Shuriken Training	P	
523	NJ_SYURIKEN	Throw Shuriken	O	
524	NJ_KUNAI	Throw Kunai	O	
525	NJ_HUUMA	Throw Huuma Shuriken	O	
526	NJ_ZENYNAGE	Throw Zeny	O	
527	NJ_TATAMIGAESHI	Improvised Defense	O	Secondary ranged damage blocking; advanced
528	NJ_KASUMIKIRI	Vanishing Slash	O	
529	NJ_SHADOWJUMP	Shadow Leap		
530	NJ_KIRIKAGE	Shadow Slash	O	
531	NJ_UTSUSEMI	Cicada Skin Sheeding	X	Prevents hits; advanced combat modelling
532	NJ_BUNSINJYUTSU	Mirror Image	X	Prevents hits; advanced combat modelling
533	NJ_NINPOU	Spirit of the Blade	P	
534	NJ_KOUENKA	Crimson Fire Petal	O	
535	NJ_KAENSIN	Crimson Fire Formation	O	Ground fire; relevant for target walking into effect
