# Item reference — generated from item_db.json
# id	aegis_name	name	type	script	on_equip_script	on_unequip_script	notes
1138	Mysteltainn_	Mysteltainn	IT_WEAPON	bonus bAtkEle,Ele_Dark;   bonus2 bAddEle,Ele_Ghost,15;   bonus3 bAutoSpell,MG_STONECURSE,3,100;   bonus2 bAddEff,Eff_Stone,10;   bonus bDex,3;			
1139	Tale_Fing_	Tirfing	IT_WEAPON	bonus bAtkEle,Ele_Dark;   bonus2 bHPLossRate,35,10000;			
1140	Byeorrun_Gum	Byeollungum	IT_WEAPON	bonus2 bSubRace,RC_NonBoss,-10;   bonus2 bAddRace,RC_Boss,50;   bonus bAllStats,2;			
1141	Immaterial_Sword	Immaterial Sword	IT_WEAPON	bonus bAtkEle, Ele_Ghost;   bonus2 bSPVanishRate, 30, 30;   bonus bSPDrainValue, -1;   bonus bUnbreakableWeapon, 1;			
1142	Jewel_Sword	Jeweled Sword	IT_WEAPON	bonus bAddMonsterDropChainItem,ITMCHAIN_GEM;			
1143	Gaia_Sword	Gaia Sword	IT_WEAPON	bonus bAddMonsterDropChainItem,ITMCHAIN_ORE;			
1144	Sasimi	Sashimi	IT_WEAPON	bonus bAtkEle,Ele_Wind;   bonus3 bAddMonsterDropItem,544,RC_Fish,4000;			
1145	Holy_Avenger	Holy Avenger	IT_WEAPON	bonus bAtkEle,Ele_Holy;   bonus bVit,2;			
1146	Town_Sword	Town Sword	IT_WEAPON				
1147	Town_Sword_	Town Sword	IT_WEAPON				
1148	Star_Dust_Blade	Star Dust Blade	IT_WEAPON	bonus2 bAddEff,Eff_Stun,500;   bonus bUnbreakableWeapon,0;			
1149	Flamberge_	Flamberge	IT_WEAPON				
1151	Slayer	Slayer	IT_WEAPON				
1152	Slayer_	Slayer	IT_WEAPON				
1153	Slayer__	Slayer	IT_WEAPON				
1154	Bastard_Sword	Bastard Sword	IT_WEAPON				
1155	Bastard_Sword_	Bastard Sword	IT_WEAPON				
1156	Bastard_Sword__	Bastard Sword	IT_WEAPON				
1157	Two_Hand_Sword	Two-Handed Sword	IT_WEAPON				
1158	Two_Hand_Sword_	Two-Handed Sword	IT_WEAPON				
1159	Two_Hand_Sword__	Two-Handed Sword	IT_WEAPON				
1160	Broad_Sword	Broad Sword	IT_WEAPON	bonus bDef,5;   bonus bUnbreakableWeapon,0;			
1161	Balmung	Balmung	IT_WEAPON	bonus bUnbreakableWeapon,0;   bonus bAtkEle,Ele_Holy;			
1162	Broad_Sword_	Broad Sword	IT_WEAPON	bonus bDef,5;   bonus bUnbreakableWeapon,0;			
1163	Claymore	Claymore	IT_WEAPON				
1164	Muramasa	Muramasa	IT_WEAPON	bonus bCritical,30;   bonus bAspdRate,8;   bonus2 bAddEff2,Eff_Curse,10;			
1165	Masamune	Masamune	IT_WEAPON	bonus bFlee,30;   bonus bStr,-5;   bonus bAspd,2;   bonus bDefRate,-67;   bonus bDef2Rate,-67;			
1166	Dragon_Slayer	Dragon Slayer	IT_WEAPON	bonus bIgnoreDefRace,RC_Dragon;   bonus2 bAddRace,RC_Dragon,15;			
1167	Schweizersabel	Schweizersabel	IT_WEAPON	bonus bAtkEle,Ele_Wind;   bonus bDef,1;   bonus3 bAutoSpell,MG_LIGHTNINGBOLT,3,100;			
1168	Zweihander	Zweihander	IT_WEAPON	bonus bUnbreakableWeapon,0;			
1169	Executioner_	Executioner	IT_WEAPON	bonus bIgnoreDefRace,RC_DemiPlayer;   bonus2 bAddRace,RC_DemiPlayer,20;   bonus2 bSubRace,RC_DemiPlayer,-10;   bonus bAtkEle,Ele_Dark;			
1170	Katzbalger	Katzbalger	IT_WEAPON	bonus bVit,5;   bonus bDef,10;			
1171	Zweihander_	Zweihander	IT_WEAPON	bonus bUnbreakableWeapon,0;			
1172	Claymore_	Claymore	IT_WEAPON				
1173	Muramasa_C	Muramasa	IT_WEAPON	bonus bCritical,30;   bonus bAspdRate,8;			
1174	Executioner_C	Executioner	IT_WEAPON	bonus bIgnoreDefRace,RC_DemiPlayer;   bonus2 bAddRace,RC_DemiPlayer,20;   bonus2 bSubRace,RC_DemiPlayer,-10;   bonus bAtkEle,Ele_Dark;			
1175	Altas_Weapon	Atlas Weapon	IT_WEAPON	bonus bCritical,10;   if(readparam(bStr)>=80) bonus bBreakArmorRate,500;			
1176	Muscle_Cutter	Muscle Cutter	IT_WEAPON	bonus2 bAddEff,Eff_Bleeding,800;   bonus3 bAutoSpell,AL_DECAGI,1,30;			
1177	Muramash	Muramash	IT_WEAPON	bonus2 bAddRace, RC_All, 50;			
1178	Schweizersabel_	Schweizersabel	IT_WEAPON	bonus bAtkEle,Ele_Wind;   bonus bDef,1;   bonus3 bAutoSpell,MG_LIGHTNINGBOLT,3,100;			
1179	Executioner__	Executioner	IT_WEAPON	bonus bIgnoreDefRace,RC_DemiPlayer;   bonus2 bAddRace,RC_DemiPlayer,20;   bonus2 bSubRace,RC_DemiPlayer,-10;   bonus bAtkEle,Ele_Dark;			
1180	Dragon_Slayer_	Dragon Slayer	IT_WEAPON	bonus bIgnoreDefRace,RC_Dragon;   bonus2 bAddRace,RC_Dragon,15;			
1181	Tae_Goo_Lyeon	Tae Goo Lyeon	IT_WEAPON	bonus bFlee2,10;   if(JobLevel>=70) autobonus "{ bonus bBaseAtk,50; }",10,10000,BF_WEAPON,"{ specialeffect(EF_POTION_BERSERK, AREA, playerattached()); }";   if(getrefine()>8) {    bonus bCastrate,-20;    bonus bDelayrate,-20;   }			
1182	Bloody_Eater	Bloody Eater	IT_WEAPON	bonus bAtkEle,Ele_Ghost;   autobonus "{ bonus bCritical,100; bonus bBaseAtk,50; }",1,5000,0,"{ specialeffect(EF_FIRESPLASHHIT, AREA, playerattached()); }";   bonus bHPGainValue,100;			
1183	BF_Two_Handed_Sword1	Brave Assaulter's Katzbalger	IT_WEAPON	bonus bStr,2;   bonus2 bAddRace,RC_DemiPlayer,55;   bonus2 bIgnoreDefRate,RC_DemiPlayer,20;   bonus bUnbreakableWeapon,0;			
1184	BF_Two_Handed_Sword2	Valorous Assaulter's Katzbalger	IT_WEAPON	bonus bCritical,20;   bonus2 bAddRace,RC_DemiPlayer,55;   bonus bCritAtkRate,20;   bonus bUnbreakableWeapon,0;			
1185	Violet_Fear	Violet Fear	IT_WEAPON	bonus3 bAutoSpell,WZ_METEOR,3,30;   bonus3 bAutoSpell,WZ_FROSTNOVA,5,50;   autobonus "{ bonus bIgnoreDefRace,RC_NonBoss; }",50,5000;			
1186	Death_Guidance	Death Guidance	IT_WEAPON	bonus bStr,5;   bonus bAgi,2;   bonus bFlee2,20;   bonus3 bAutoSpell,NPC_HELLPOWER,1,10;   bonus4 bAutoSpell,NPC_HELLPOWER,1,10,0;   if( getrefine()>8 ) bonus3 bAutoSpell,NPC_VAMPIRE_GIFT,2,20;   else bonus3 bAutoSpell,NPC_VAMPIRE_GIFT,1,20;			
1187	Krieger_Twohand_Sword1	Glorious Claymore	IT_WEAPON	bonus2 bAddRace,RC_DemiPlayer,70;   bonus2 bIgnoreDefRate,RC_DemiPlayer,25;   bonus bUnbreakableWeapon,0;   if(getrefine()>5) {    bonus2 bAddRace,RC_DemiPlayer,(getrefine()-3)*(getrefine()-3);    bonus2 bIgnoreDefRate,RC_DemiPlayer,5;   }   if(getrefine()>8) {    bonus3 bAutoSpell,LK_CONCENTRATION,max(getskilllv(LK_CONCENTRATION),1),30;    bonus3 bAutoSpell,LK_AURABLADE,max(getskilllv(LK_AURABLADE),1),30;   }			
1188	Veteran_Sword	Veteran Sword	IT_WEAPON	if(getskilllv(SM_BASH)==10) {    bonus2 bSkillAtk,SM_BASH,50;   }   if(getskilllv(KN_BOWLINGBASH)==10) {    bonus2 bSkillAtk,KN_BOWLINGBASH,50;   }   bonus bStr,1;   bonus bDex,1;			
1189	Krasnaya	Krasnaya	IT_WEAPON	if(readparam(bStr)>=95) {    bonus bBaseAtk,20;   }			
1190	Claymore_C	Claymore	IT_WEAPON	bonus2 bAddSize,Size_Small,40;   bonus2 bAddSize,Size_Medium,40;   bonus2 bAddSize,Size_Large,40;			
1201	Knife	Knife	IT_WEAPON				
1202	Knife_	Knife	IT_WEAPON				
1203	Knife__	Knife	IT_WEAPON				
1204	Cutter	Cutter	IT_WEAPON				
1205	Cutter_	Cutter	IT_WEAPON				
1206	Cutter__	Cutter	IT_WEAPON				
1207	Main_Gauche	Main Gauche	IT_WEAPON				
1208	Main_Gauche_	Main Gauche	IT_WEAPON				
1209	Main_Gauche__	Main Gauche	IT_WEAPON				
1210	Dirk	Dirk	IT_WEAPON				
1211	Dirk_	Dirk	IT_WEAPON				
1212	Dirk__	Dirk	IT_WEAPON				
1213	Dagger	Dagger	IT_WEAPON				
1214	Dagger_	Dagger	IT_WEAPON				
1215	Dagger__	Dagger	IT_WEAPON				
1216	Stiletto	Stiletto	IT_WEAPON				
1217	Stiletto_	Stiletto	IT_WEAPON				
1218	Stiletto__	Stiletto	IT_WEAPON				
1219	Gladius	Gladius	IT_WEAPON				
1220	Gladius_	Gladius	IT_WEAPON				
1221	Gladius__	Gladius	IT_WEAPON				
1222	Damascus	Damascus	IT_WEAPON	bonus bUnbreakableWeapon,0;			
1223	Forturn_Sword	Fortune Sword	IT_WEAPON	bonus bLuk,5;   bonus bFlee2,20;			
1224	Sword_Breaker	Swordbreaker	IT_WEAPON	bonus bBreakWeaponRate,500;			
1225	Mail_Breaker	Mailbreaker	IT_WEAPON	bonus bBreakArmorRate,500;			
1226	Damascus_	Damascus	IT_WEAPON	bonus bUnbreakableWeapon,0;			
1227	Weeder_Knife	Weeder Knife	IT_WEAPON	bonus bIgnoreDefRace,RC_Plant;   bonus2 bAddRace,RC_Plant,15;   bonus2 bSubRace,RC_Plant,15;			
1228	Combat_Knife	Combat Knife	IT_WEAPON	bonus bIgnoreDefRace,RC_DemiPlayer;   bonus2 bSubRace,RC_DemiPlayer,10;   bonus2 bSubRace,RC_Demon,-10;			
1229	Mamas_Knife	Kitchen Knife	IT_WEAPON	bonus bCritical,30;   bonus3 bAddMonsterDropItem,517,RC_Brute,5000;			
1230	House_Auger	Ice Pick	IT_WEAPON	bonus bDefRatioAtkRace, RC_All;			
1231	Bazerald	Bazerald	IT_WEAPON	bonus bAtkEle,Ele_Fire;   bonus bInt,5;   bonus bMatkRate,10;			
1232	Assasin_Dagger	Assassin Dagger	IT_WEAPON	bonus bMaxHPrate,20;   bonus bMaxSPrate,15;   bonus bAspdRate,2;   bonus bAtkEle,Ele_Dark;			
1233	Exercise	Exorciser	IT_WEAPON	bonus bIgnoreDefRace,RC_Demon;   bonus2 bSubRace,RC_Demon,5;   bonus2 bSubRace,RC_DemiPlayer,-10;			
1234	Moonlight_Sword	Moonlight Dagger	IT_WEAPON	bonus bMaxSPrate,10;   bonus bSPDrainValue,3;			
1235	Azoth	Azoth	IT_WEAPON	bonus bClassChange,300;			
1236	Sucsamad	Sucsamad	IT_WEAPON	bonus2 bAddEle,Ele_Earth,10;   bonus2 bAddEle,Ele_Wind,10;   bonus bUnbreakableWeapon,0;			
1237	Grimtooth_	Grimtooth	IT_WEAPON	bonus bFlee,10;   bonus bFlee2,5;   bonus bDefRate,-50;   bonus bDef2Rate,-50;			
1238	Zeny_Knife	Zeny Knife	IT_WEAPON	bonus2 bGetZenyNum,100,40;			
1239	Poison_Knife	Poison Knife	IT_WEAPON	bonus bAtkEle,Ele_Poison;   bonus2 bAddEff,Eff_Poison,3000;			
1240	Princess_Knife	Princess Knife	IT_WEAPON	bonus bAllStats,1;			
1241	Cursed_Dagger	Cursed Dagger	IT_WEAPON	bonus2 bAddEff,Eff_Curse,5000;			
1242	Counter_Dagger	Dagger of Counter	IT_WEAPON	bonus bCritical,90;			
1243	Novice_Knife	Novice Main-Gauche	IT_WEAPON				
1244	Holy_Dagger	Holy Dagger	IT_WEAPON	bonus bAtkEle,Ele_Holy;   bonus bDex,1;			
1245	Cinquedea	Cinquedea	IT_WEAPON				
1246	Cinquedea_	Cinquedea	IT_WEAPON				
1247	Kindling_Dagger	Kindle Dagger	IT_WEAPON	bonus bAtkEle,Ele_Fire;			
1248	Obsidian_Dagger	Obsidian Dagger	IT_WEAPON	bonus bAtkEle,Ele_Earth;			
1249	Fishermans_Dagger	Fisherman's Dagger	IT_WEAPON	bonus bAtkEle,Ele_Water;			
1250	Jur	Jur	IT_WEAPON				
1251	Jur_	Jur	IT_WEAPON				
1252	Katar	Katar	IT_WEAPON	bonus bDex,1;			
1253	Katar_	Katar	IT_WEAPON	bonus bDex,1;			
1254	Jamadhar	Jamadhar	IT_WEAPON				
1255	Jamadhar_	Jamadhar	IT_WEAPON				
1256	Katar_Of_Cold_Icicle	Katar of Frozen Icicle	IT_WEAPON	bonus bAtkEle,Ele_Water;   bonus2 bAddEff,Eff_Freeze,500;			
1257	Katar_Of_Thornbush	Katar of Quaking	IT_WEAPON	bonus bAtkEle,Ele_Earth;   bonus2 bAddEff,Eff_Blind,500;			
1258	Katar_Of_Raging_Blaze	Katar of Raging Blaze	IT_WEAPON	bonus bAtkEle,Ele_Fire;   bonus2 bAddEff,Eff_Silence,500;			
1259	Katar_Of_Piercing_Wind	Katar of Piercing Wind	IT_WEAPON	bonus bAtkEle,Ele_Wind;   bonus2 bAddEff,Eff_Sleep,500;			
1260	Ghoul_Leg	Sharpened Legbone of Ghoul	IT_WEAPON	bonus bAtkEle,Ele_Undead;			
1261	Infiltrator	Infiltrator	IT_WEAPON	bonus2 bAddRace,RC_DemiPlayer,50;   bonus bDef,3;   bonus bFlee,5;   bonus bFlee2,2;			
1262	Nail_Of_Loki	Loki's Nail	IT_WEAPON	bonus2 bAddEff,Eff_Bleeding,300;			
1263	Unholy_Touch	Unholy Touch	IT_WEAPON	bonus bAtkEle,Ele_Dark;   bonus2 bAddEff,Eff_Curse,200;   bonus bCritical,-1;   bonus bUnbreakableWeapon,0;			
1264	Various_Jur	Specialty Jur	IT_WEAPON	bonus2 bAddEff2,Eff_Bleeding,10;			
1265	Bloody_Roar	Bloody Roar	IT_WEAPON	bonus bIgnoreDefRace,RC_DemiPlayer;   bonus bFlee,-160;   bonus bFlee2,-160;   bonus bHPrecovRate,-100;   bonus bSPrecovRate,-100;			
1266	Infiltrator_	Infiltrator	IT_WEAPON	bonus2 bAddRace,RC_DemiPlayer,50;   bonus bDef,3;   bonus bFlee,5;   bonus bFlee2,2;			
1267	Infiltrator_C	Infiltrator	IT_WEAPON	bonus2 bAddRace,RC_DemiPlayer,70;   bonus bDef,3;   bonus bFlee,5;   bonus bFlee2,2;   bonus bAspdRate,5;			
1268	Wild_Beast_Claw	Wild Beast Claw	IT_WEAPON	if(getrefine()>=9) {    bonus3 bAutoSpell,NPC_CRITICALWOUND,2,100;   }   else bonus3 bAutoSpell,NPC_CRITICALWOUND,1,100;			
1269	Inverse_Scale	Inverse Scale	IT_WEAPON	bonus bAtkEle,Ele_Holy;   bonus3 bAutoSpell,NPC_DRAGONFEAR,1,30;			
1270	Drill_Katar	Drill Katar	IT_WEAPON	bonus bHit,30;   bonus3 bAutoSpell,ST_FULLSTRIP,1,150;			
1271	Blood_Tears	Blood Tears	IT_WEAPON	if(getrefine()>=9) {    bonus3 bAutoSpell,NPC_WIDEBLEEDING,2,30;   }   else bonus3 bAutoSpell,NPC_WIDEBLEEDING,1,30;			
1272	Scratcher	Scratcher	IT_WEAPON	bonus2 bAddRace, RC_All, 50;			
1273	Bloody_Roar_C	Refined Bloody Roar	IT_WEAPON	bonus bIgnoreDefRace,RC_DemiPlayer;   bonus bFlee,-160;   bonus bFlee2,-160;			
1274	Unholy_Touch_C	Refined Unholy Touch	IT_WEAPON	bonus bAtkEle,Ele_Dark;   bonus2 bAddEff,Eff_Curse,5000;   bonus bCritical,-1;   bonus bUnbreakableWeapon,0;			
1275	Katar_Of_Cold_Icicle_	Katar of Frozen Icicle	IT_WEAPON	bonus bAtkEle,Ele_Water;   bonus2 bAddEff,Eff_Freeze,500;			
1276	Katar_Of_Thornbush_	Katar of Quaking	IT_WEAPON	bonus bAtkEle,Ele_Earth;   bonus2 bAddEff,Eff_Blind,500;			
1277	Katar_Of_Raging_Blaze_	Katar of Raging Blaze	IT_WEAPON	bonus bAtkEle,Ele_Fire;   bonus2 bAddEff,Eff_Silence,500;			
1278	Katar_Of_Piercing_Wind_	Katar of Piercing Wind	IT_WEAPON	bonus bAtkEle,Ele_Wind;   bonus2 bAddEff,Eff_Sleep,500;			
1279	BF_Katar1	Brave Carnage Katar	IT_WEAPON	bonus bStr,1;   bonus bDex,1;   bonus bLuk,1;   bonus2 bAddRace,RC_DemiPlayer,70;   bonus2 bIgnoreDefRate,RC_DemiPlayer,20;   bonus bUnbreakableWeapon,0;			
1280	BF_Katar2	Valorous Carnage Katar	IT_WEAPON	bonus bStr,1;   bonus bDex,1;   bonus bLuk,1;   bonus2 bAddRace,RC_DemiPlayer,70;   bonus bCritAtkRate,20;   bonus bAspdRate,5;   bonus bUnbreakableWeapon,0;			
1281	Krieger_Katar1	Glorious Bloody Roar	IT_WEAPON	bonus2 bAddRace,RC_DemiPlayer,70;   bonus2 bIgnoreDefRate,RC_DemiPlayer,20;   bonus bUnbreakableWeapon,0;   if(getrefine()>5) {    bonus2 bAddRace,RC_DemiPlayer,(getrefine()-4)*(getrefine()-4);    bonus2 bIgnoreDefRate,RC_DemiPlayer,5;   }   if(getrefine()>8) autobonus "{ bonus bAspdRate,100; }",70,3000,BF_WEAPON,"{ specialeffect(EF_POTION_BERSERK, AREA, playerattached()); }";			
1282	Krieger_Katar2	Glorious Jamadhar	IT_WEAPON	bonus2 bAddRace,RC_DemiPlayer,70;   bonus2 bIgnoreDefRate,RC_DemiPlayer,20;   bonus bUnbreakableWeapon,0;   if(getrefine()>5) {    bonus2 bAddRace,RC_DemiPlayer,(getrefine()-4)*(getrefine()-4);    bonus2 bCriticalAddRace,RC_DemiPlayer,5;   }   if(getrefine()>8) autobonus "{ bonus bAspdRate,100; }",70,3000,BF_WEAPON,"{ specialeffect(EF_POTION_BERSERK, AREA, playerattached()); }";			
1283	Katar_Of_Speed	Katar Of Speed	IT_WEAPON	bonus2 bSkillAtk,AS_SONICBLOW,25;   bonus bAspdRate,3;			
1284	Krishna	Krishna	IT_WEAPON	bonus2 bSkillAtk,AS_GRIMTOOTH,10;   if(getskilllv(AS_SONICBLOW)) {    bonus3 bAutoSpell,AS_SONICBLOW,getskilllv(AS_SONICBLOW),5;   }   else {    bonus3 bAutoSpell,AS_SONICBLOW,1,5;   }			
1285	Cakram	Chakram	IT_WEAPON	if(getskilllv(AS_KATAR)==10) {    bonus bHit,10;   }   bonus2 bSkillAtk,ASC_METEORASSAULT,20;			
1286	Jamadhar_C	Jamadhar	IT_WEAPON	bonus bUnbreakableWeapon,0;   bonus2 bAddSize,Size_Small,40;   bonus2 bAddSize,Size_Medium,40;   bonus2 bAddSize,Size_Large,40;			
1301	Axe	Axe	IT_WEAPON				
1302	Axe_	Axe	IT_WEAPON				
1303	Axe__	Axe	IT_WEAPON				
1304	Orcish_Axe	Orcish Axe	IT_WEAPON				
1305	Cleaver	Cleaver	IT_WEAPON	bonus2 bSubRace,RC_DemiPlayer,5;   bonus3 bAddMonsterDropItem,517,RC_Brute,3000;			
1306	War_Axe	War Axe	IT_WEAPON	bonus bDex,2;   bonus bLuk,2;			
1307	Windhawk	Windhawk	IT_WEAPON	bonus bAtkEle,Ele_Wind;   bonus bAspdRate,5;			
1308	Golden_Axe	Golden Axe	IT_WEAPON				
1309	Orcish_Axe_	Orcish Axe	IT_WEAPON				
1310	Krieger_Onehand_Axe1	Glorious Cleaver	IT_WEAPON	bonus2 bAddRace,RC_DemiPlayer,75;   bonus2 bIgnoreDefRate,RC_DemiPlayer,20;   bonus bUnbreakableWeapon,0;   if(getrefine()>5) {    bonus2 bAddRace,RC_DemiPlayer,(getrefine()-4)*(getrefine()-4);    bonus2 bIgnoreDefRate,RC_DemiPlayer,5;    bonus bAspdRate,5;   }   if(getrefine()>8) {    bonus bAspdRate,5;    bonus3 bAutoSpell,NPC_CRITICALWOUND,1,50;    bonus4 bAutoSpellOnSkill,MC_MAMMONITE,NPC_CRITICALWOUND,2,200;   }			
1311	Vecer_Axe	Vecer Axe	IT_WEAPON	if(readparam(bLuk)>=90) {    bonus bBaseAtk,20;   }   if(readparam(bDex)>=90) {    bonus bCritical,5;   }   if(readparam(bDex)>=90||readparam(bLuk)>=90) {    bonus2 bSkillAtk,MC_MAMMONITE,15;   }			
1312	Orcish_Axe_C	Orcish Axe	IT_WEAPON	bonus2 bAddSize,Size_Small,70;   bonus2 bAddSize,Size_Medium,70;   bonus2 bAddSize,Size_Large,70;			
1313	Tourist_Axe	Tourist Axe	IT_WEAPON	bonus bStr,2;			
1314	F_Tomahawk_C	Tomahawk	IT_WEAPON	bonus bAtkEle,Ele_Wind;			
1315	F_Right_Epsilon_C	Light Epsilon	IT_WEAPON	bonus bAtkEle,Ele_Holy;   bonus bStr,10;			
1351	Battle_Axe	Battle Axe	IT_WEAPON				
1352	Battle_Axe_	Battle Axe	IT_WEAPON				
1353	Battle_Axe__	Battle Axe	IT_WEAPON				
1354	Hammer	Hammer	IT_WEAPON				
1355	Hammer_	Hammer	IT_WEAPON				
1356	Hammer__	Hammer	IT_WEAPON				
1357	Buster	Buster	IT_WEAPON				
1358	Buster_	Buster	IT_WEAPON				
1359	Buster__	Buster	IT_WEAPON				
1360	Two_Handed_Axe	Two-Handed Axe	IT_WEAPON				
1361	Two_Handed_Axe_	Two-Handed Axe	IT_WEAPON				
1362	Two_Handed_Axe__	Two-Handed Axe	IT_WEAPON				
1363	Brood_Axe	Bloody Axe	IT_WEAPON	bonus bStr,10;   bonus bSpeedRate,25;			
1364	Great_Axe	Great Axe	IT_WEAPON	bonus2 bAddSkillBlow,MC_MAMMONITE,5;   bonus2 bAddEff,Eff_Stun,1500;			
1365	Sabbath	Sabbath	IT_WEAPON	bonus bAtkEle,Ele_Dark;   bonus2 bWeaponComaRace,RC_Demon,50;   bonus2 bCriticalAddRace,RC_Undead,50;			
1366	Right_Epsilon	Light Epsilon	IT_WEAPON	bonus bAtkEle,Ele_Holy;   skill AL_HEAL,3;   bonus2 bAddRace,RC_Demon,3;			
1367	Slaughter	Slaughter	IT_WEAPON	bonus bAtkEle,Ele_Earth;   bonus bIgnoreDefRace,RC_Brute;   bonus2 bWeaponComaRace,RC_Brute,40;			
1368	Tomahawk	Tomahawk	IT_WEAPON	bonus bAtkEle,Ele_Wind;   skill ITM_TOMAHAWK,1;			
1369	Guillotine	Guillotine	IT_WEAPON	bonus2 bWeaponComaRace,RC_DemiPlayer,30;   bonus2 bSPGainRaceAttack,RC_DemiPlayer,2;   bonus2 bSPGainRace,RC_DemiPlayer,20;			
1370	Doom_Slayer	Doom Slayer	IT_WEAPON	bonus bAspdRate,-40;   bonus bUseSPrate,100;   if(readparam(bStr)>=95) {    bonus bBaseAtk,340;    bonus2 bAddEff,Eff_Stun,3000;    bonus bBreakArmorRate,500;   }			
1371	Doom_Slayer_	Doom Slayer	IT_WEAPON	bonus bAspdRate,-40;   bonus bUseSPrate,100;   if(readparam(bStr)>=95) {    bonus bBaseAtk,340;    bonus2 bAddEff,Eff_Stun,3000;    bonus bBreakArmorRate,500;   }			
1372	Right_Epsilon_C	Light Epsilon	IT_WEAPON	bonus bAtkEle,Ele_Holy;   skill AL_HEAL,3;   bonus2 bAddRace,RC_Demon,3;   bonus bStr,10;   bonus bSpeedRate,25;			
1373	Brood_Axe_C	Refined Bloody Axe	IT_WEAPON	bonus bStr,20;   bonus bSpeedRate,25;   bonus bAspdRate,5;			
1374	Tomahawk_C	Tomahawk	IT_WEAPON	bonus bAtkEle,Ele_Wind;   skill ITM_TOMAHAWK,1;			
1375	Berdysz	Berdysz	IT_WEAPON	bonus2 bSubSize,Size_Medium,13;   bonus2 bSubSize,Size_Large,15;			
1376	Heart_Breaker	Heart Breaker	IT_WEAPON	bonus bCritical,20+getrefine();   bonus bAspdRate,5;   if((Class==Job_Whitesmith)||(Class==Job_Creator)) bonus3 bAutoSpell,BS_HAMMERFALL,3,30;			
1377	Hurricane_Fury	Hurricane's Fury	IT_WEAPON	bonus2 bSubSize,Size_Medium,10+getrefine();   bonus bAspdRate,getrefine();   bonus3 bAutoSpell,NPC_PULSESTRIKE,5,20;			
1378	Great_Axe_C	Refined Great Axe	IT_WEAPON	bonus bStr,5;   bonus bHit,20;   bonus2 bAddSkillBlow,MC_MAMMONITE,5;   bonus2 bAddEff,Eff_Stun,2000;			
1379	BF_Two_Handed_Axe1	Valorous Insane Battle Axe	IT_WEAPON	bonus bStr,3;   bonus2 bAddRace,RC_DemiPlayer,55;   bonus2 bIgnoreDefRate,RC_DemiPlayer,20;   bonus bUnbreakableWeapon,0;			
